wallet_address,account_creation_timestamp,wallet_age_days,total_transactions,total_incoming_transactions,total_outgoing_transactions,unique_counterparties,is_contract_creator,average_transaction_value,max_transaction_value,min_transaction_value,median_transaction_value,std_transaction_value,average_time_between_transactions,tx_frequency_per_day,peak_tx_in_24h,contract_interaction_count,first_contract_interaction_timestamp,erc20_token_count,nft_count,token_airdrops_received,tx_burstiness,recurrent_tx_to_same_address,received_from_new_accounts,suspicious_contract_interactions,dust_transactions_count,failed_transaction_count,average_gas_fee_paid,is_burn_address_interactor,is_fake_account
0x30bb852d3f3353a649508fa5d9a80b843615b8ef,2024-11-16 00:37:59.973688,246,41,26,15,29,0,1666.84,4045.3809731257297,1610.795280852167,995.93,1616.397044627726,6.0,0.17,14,11,2025-06-29 00:37:59.973688,3,17,6,0.22,18,0.16,4,1,2,0.00471,0,0
0x31dbce3050b6c74d16fc3537b050f06c4d034a7a,2023-04-29 13:04:17.973688,813,53,15,38,36,0,262.44,10095.579395229535,174.57758122310804,179.03,251.27689757846161,15.34,0.07,7,4,2024-12-10 13:04:17.973688,15,9,7,0.45,13,0.04,0,5,1,0.00354,0,0
0x14cb81e9830ec1bb933fd840fe7e52b9b10c0c29,2022-01-09 22:59:14.973688,1287,58,43,15,11,1,127.75,4786.8905167761095,40.74867692277661,139.68,111.64667363971614,22.19,0.05,6,2,2023-12-07 22:59:14.973688,22,2,2,0.21,21,0.01,4,6,1,0.00828,0,1
0x932186cc0af436544ac9b244d196e24b67397ecb,2022-03-26 01:46:25.973688,1212,46,46,0,28,0,48.95,3834.9761198604947,18.78615072343189,44.22,9.73941929192738,26.35,0.04,37,1,2024-02-19 01:46:25.973688,6,7,9,0.41,19,0.14,4,6,4,0.00242,0,1
0x4289f87aae3120a48b1969235d9b54519b1651c3,2024-10-20 03:10:50.973688,273,65,7,58,57,0,487.98,4207.1867272201125,411.49922448799776,503.59,380.1629662045849,4.2,0.24,2,61,2025-07-13 03:10:50.973688,1,10,4,0.17,0,0.02,4,1,1,0.0006,0,0
0x349da39d7c0c22a66922f652ace17cdf017abbeb,2021-04-24 14:58:28.973688,1548,47,5,42,32,0,71.51,8185.684971083081,0.01,38.45,30.549082766363995,32.94,0.03,29,30,2021-05-30 14:58:28.973688,19,10,6,0.44,2,0.07,1,0,1,0.00454,0,0
0xea079e45aa38ed40ef61e4d2fce4296fa3f31c67,2025-03-04 05:43:47.973688,138,49,1,48,10,0,441.57,8839.539378282027,386.53839836078674,458.49,48.79505507569893,2.82,0.36,48,11,2025-06-25 05:43:47.973688,27,2,1,0.28,4,0.01,2,5,3,0.0058,0,0
0x7a2d801a9f00b9ef62c6bd9def8545d7f309d1ea,2025-03-14 21:30:29.973688,127,50,1,49,34,0,358.96,6824.273611776055,317.60054509404057,388.6,357.0852917828621,2.54,0.39,48,38,2025-04-07 21:30:29.973688,1,0,5,0.4,13,0.29,0,2,1,0.00799,0,0
0x003cea8b5f056b7a4a24747d0f0bdcd6ff608237,2024-08-16 02:41:58.973688,338,52,15,37,13,0,682.65,7377.691813406495,611.2081975327636,1074.76,665.8216517286287,6.5,0.15,29,48,2025-07-11 02:41:58.973688,3,13,7,0.62,8,0.06,4,6,1,0.00214,0,1
0x93d1d93568bd1b842a2bdcef6d465d11ebf18e69,2022-11-27 00:36:35.973688,966,47,7,40,1,0,584.13,3186.4682396796984,582.8410980303898,524.16,439.79497810549356,20.55,0.05,3,23,2023-04-25 00:36:35.973688,11,17,1,0.32,16,0.19,3,4,3,0.00784,0,0
0x84a46588fc41b76ee70c4802c89e864878bd5554,2023-04-22 19:22:36.973688,819,34,12,22,19,0,31.89,3931.8242640410417,0.01,41.07,21.007581495273406,24.09,0.04,8,12,2025-07-12 19:22:36.973688,21,4,6,0.06,11,0.06,1,7,0,0.00775,0,0
0x348ecd4290bdea21f293224afbbced41ebca9430,2023-12-21 22:43:23.973688,576,60,19,41,25,0,185.94,2800.6367718953943,126.28286536194521,220.76,150.80483245158214,9.6,0.1,8,16,2024-12-26 22:43:23.973688,9,2,4,0.1,4,0.11,0,3,3,0.00741,0,0
